Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
Mission: Impossible II,546388108,215409889,39.4,330978219,60.6,2000
Gladiator,460583960,187705427,40.8,272878533,59.2,2000
Cast Away,429632142,233632142,54.4,196000000,45.6,2000
What Women Want,374111707,182811707,48.9,191300000,51.1,2000
Dinosaur,349822765,137748063,39.4,212074702,60.6,2000
How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000
Meet the Parents,330444045,166244045,50.3,164200000,49.7,2000
The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000
X0Men,296339528,157299718,53.1,139039810,46.9,2000
What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000
Scary Movie,278019771,157019771,56.5,121000000,43.5,2000
Charlie's Angels,264105545,125305545,47.4,138800000,52.6,2000
Erin Brockovich,256271286,125595205,49.0,130676081,51.0,2000
Unbreakable,248118121,95011339,38.3,153106782,61.7,2000
Gone in 60 Seconds,237202299,101648571,42.9,135553728,57.1,2000
Chicken Run,224834564,106834564,47.5,118000000,52.5,2000
Vertical Limit,215663859,69243859,32.1,146420000,67.9,2000
The Patriot,215294342,113330342,52.6,101964000,47.4,2000
Crouching Tiger Hidden Dragon,213525736,128078872,60.0,85446864,40.0,2000
Miss Congeniality,212742720,106807667,50.2,105935053,49.8,2000
Traffic,207515725,124115725,59.8,83400000,40.2,2000
Hollow Man,190213455,73209340,38.5,117004115,61.5,2000
102 Dalmatians,183611771,66957026,36.5,116654745,63.5,2000
Big Momma's House,173959438,117559438,67.6,56400000,32.4,2000
The Emperor's New Groove,169327687,89302687,52.7,80025000,47.3,2000
Nutty Professor II: The Klumps,166339890,123309890,74.1,43030000,25.9,2000
Scream 3,161834276,89143175,55.1,72691101,44.9,2000
Chocolat,152699946,71509363,46.8,81190583,53.2,2000
Me Myself & Irene,149270999,90570999,60.7,58700000,39.3,2000
The Beach,144056873,39785027,27.6,104271846,72.4,2000
Remember the Titans,136706683,115654751,84.6,21051932,15.4,2000
Pokémon the Movie 2000,133949270,43758684,32.7,90190586,67.3,2000
Space Cowboys,128884132,90464773,70.2,38419359,29.8,2000
U0571,127666415,77122415,60.4,50544000,39.6,2000
The Family Man,124745083,75793305,60.8,48951778,39.2,2000
Road Trip,119754278,68540777,57.2,51213501,42.8,2000
Coyote Ugly,113916474,60786269,53.4,53130205,46.6,2000
Final Destination,112880294,53331147,47.2,59549147,52.8,2000
The Exorcist 2000 Director's Cut,112053066,39671011,35.4,72382055,64.6,2000
Mission to Mars,110983407,60883407,54.9,50100000,45.1,2000





























